# name: EDTA sodium
# molar mass:  	292.24 g/mol
# temperature: 20°C
# reference: CRC handbook 90th edition 2009, p. 8-56
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0.000,	0.9982,	1.3339,	1.0016
0.015,	1.0009,	1.3339,	1.017
0.030,	1.0036,	1.3348,	1.032
0.045,	1.0062,	1.3356,	1.046
0.060,	1.0089,	1.3365,	1.062
0.075,	1.0115,	1.3374,	1.077
0.090,	1.0142,	1.3383,	1.093
0.106,	1.0169,	1.3392,	1.109
0.121,	1.0196,	1.3400,	1.125
0.137,	1.0223,	1.3409,	1.142
0.152,	1.0250,	1.3418,	1.160
0.168,	1.0277,	1.3427,	1.178
0.184,	1.0305,	1.3436,	1.197
