# name: D-glucose
# molar mass: 180.16
# temperature: 20°C
# reference: CRC handbook 90th edition 2009, p. 8-59
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0.000,	0.9982,	1.3339,	1.0016
0.028,	1.0001,	1.3337,	1.010
0.056,	1.0020,	1.3344,	1.021
0.112,	1.0058,	1.3358,	1.052
0.168,	1.0097,	1.3373,	1.083
0.225,	1.0136,	1.3387,	1.113
0.282,	1.0175,	1.3402,	1.145
0.340,	1.0214,	1.3417,	1.179
0.398,	1.0254,	1.3432,	1.214
0.457,	1.0294,	1.3447,	1.250
0.516,	1.0334,	1.3462,	1.289
0.576,	1.0375,	1.3477,	1.330
0.697,	1.0457,	1.3508,	1.416
0.819,	1.0540,	1.3539,	1.512
0.944,	1.0624,	1.3571,	1.625
1.070,	1.0710,	1.3603,	1.757
1.199,	1.0797,	1.3635,	1.904
1.329,	1.0884,	1.3668,	2.063
1.462,	1.0973,	1.3702,	2.242
1.597,	1.1063,	1.3736,	2.458
