# name: sucrose
# temperature: 20°C
# reference: CRC handbook 90th edition 2009, p. 8-74
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0.000,	0.9982,	1.3339,	1.0016
0.015,	1.0002,	1.3337,	1.015
0.029,	1.0021,	1.3344,	1.028
0.059,	1.0060,	1.3359,	1.055
0.089,	1.0099,	1.3373,	1.084
0.118,	1.0139,	1.3388,	1.114
0.149,	1.0178,	1.3403,	1.146
0.179,	1.0218,	1.3418,	1.179
0.210,	1.0259,	1.3433,	1.215
0.241,	1.0299,	1.3448,	1.254
0.272,	1.0340,	1.3463,	1.294
0.303,	1.0381,	1.3478,	1.336
0.367,	1.0465,	1.3509,	1.429
0.431,	1.0549,	1.3541,	1.534
0.497,	1.0635,	1.3573,	1.653
0.564,	1.0722,	1.3606,	1.790
0.632,	1.0810,	1.3639,	1.945
0.700,	1.0899,	1.3672,	2.124
0.771,	1.0990,	1.3706,	2.331
0.842,	1.1082,	1.3741,	2.573
0.914,	1.1175,	1.3776,	2.855
0.988,	1.1270,	1.3812,	3.187
1.063,	1.1366,	1.3848,	3.762

