# name: sodium chloride (NaCl)
# molar mass: 58.44
# temperature: 20°C
# reference: CRC handbook, p. 8-71
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0,   	0.9982,	1.3339,	1.0016
0.086,	1.0018,	1.3339,	1.011
0.172,	1.0053,	1.3347,	1.020
0.346,	1.0125,	1.3365,	1.036
0.523,	1.0196,	1.3383,	1.052
0.703,	1.0268,	1.3400,	1.068
0.885,	1.0340,	1.3418,	1.085
1.069,	1.0413,	1.3435,	1.104
1.256,	1.0486,	1.3453,	1.124
1.445,	1.0559,	1.3470,	1.145
1.637,	1.0633,	1.3488,	1.168
1.832,	1.0707,	1.3505,	1.193
2.229,	1.0857,	1.3541,	1.250
2.637,	1.1008,	1.3576,	1.317
3.056,	1.1162,	1.3612,	1.388
3.486,	1.1319,	1.3648,	1.463
3.928,	1.1478,	1.3684,	1.557
4.382,	1.1640,	1.3721,	1.676
4.847,	1.1804,	1.3757,	1.821
5.326,	1.1972,	1.3795,	1.990
