#! "plot1: X", "plot1: Y"
0.656989070622112, 1
0.77934095831328, 4
0.901692846004447, 3
1.02404473369561, 5
1.14639662138678, 13
1.26874850907795, 17
1.39110039676912, 25
1.51345228446028, 36
1.63580417215145, 41
1.75815605984262, 39
1.88050794753379, 49
2.00285983522495, 42
2.12521172291612, 51
2.24756361060729, 44
2.36991549829846, 38
2.49226738598962, 25
2.61461927368079, 27
2.73697116137196, 19
2.85932304906313, 5
2.98167493675429, 5
3.10402682444546, 5
3.22637871213663, 0
3.3487305998278, 1
3.47108248751896, 2
3.59343437521013, 3
